Epoch 00000 | Loss 6.5193 | Accuracy 0.5513 | Time : 4.7163 | loop 2.1212 | Model 2.5950 | x_y_time 0.0003 | pred 2.0683 | loss_time 0.0185
Epoch 00001 | Loss 2.6911 | Accuracy 0.6391 | Time : 3.9164 | loop 2.1106 | Model 1.8058 | x_y_time 0.0003 | pred 1.2714 | loss_time 0.0185
Epoch 00002 | Loss 2.0249 | Accuracy 0.7256 | Time : 3.9169 | loop 2.1111 | Model 1.8057 | x_y_time 0.0003 | pred 1.2709 | loss_time 0.0184
Epoch 00003 | Loss 1.6833 | Accuracy 0.7730 | Time : 3.9165 | loop 2.1099 | Model 1.8065 | x_y_time 0.0003 | pred 1.2712 | loss_time 0.0185
Epoch 00004 | Loss 1.4429 | Accuracy 0.8035 | Time : 3.9170 | loop 2.1090 | Model 1.8079 | x_y_time 0.0003 | pred 1.2721 | loss_time 0.0184
Epoch 00005 | Loss 1.2849 | Accuracy 0.8228 | Time : 3.9276 | loop 2.1151 | Model 1.8124 | x_y_time 0.0004 | pred 1.2733 | loss_time 0.0187
Epoch 00006 | Loss 1.1633 | Accuracy 0.8362 | Time : 3.9202 | loop 2.1107 | Model 1.8095 | x_y_time 0.0003 | pred 1.2726 | loss_time 0.0186
Epoch 00007 | Loss 1.0826 | Accuracy 0.8466 | Time : 3.9201 | loop 2.1092 | Model 1.8109 | x_y_time 0.0003 | pred 1.2729 | loss_time 0.0185
Epoch 00008 | Loss 1.0089 | Accuracy 0.8569 | Time : 3.9198 | loop 2.1080 | Model 1.8117 | x_y_time 0.0003 | pred 1.2735 | loss_time 0.0183
Epoch 00009 | Loss 0.9531 | Accuracy 0.8648 | Time : 3.9230 | loop 2.1100 | Model 1.8129 | x_y_time 0.0003 | pred 1.2742 | loss_time 0.0187
Epoch 00010 | Loss 0.9110 | Accuracy 0.8716 | Time : 3.9239 | loop 2.1102 | Model 1.8136 | x_y_time 0.0003 | pred 1.2739 | loss_time 0.0186
Epoch 00011 | Loss 0.8629 | Accuracy 0.8763 | Time : 3.9224 | loop 2.1097 | Model 1.8127 | x_y_time 0.0003 | pred 1.2737 | loss_time 0.0185
Epoch 00012 | Loss 0.8275 | Accuracy 0.8805 | Time : 3.9268 | loop 2.1118 | Model 1.8150 | x_y_time 0.0003 | pred 1.2744 | loss_time 0.0185
Epoch 00013 | Loss 0.7972 | Accuracy 0.8835 | Time : 3.9316 | loop 2.1139 | Model 1.8176 | x_y_time 0.0003 | pred 1.2751 | loss_time 0.0185
Epoch 00014 | Loss 0.7666 | Accuracy 0.8857 | Time : 3.9276 | loop 2.1095 | Model 1.8181 | x_y_time 0.0003 | pred 1.2769 | loss_time 0.0188
Epoch 00015 | Loss 0.7460 | Accuracy 0.8879 | Time : 3.9278 | loop 2.1094 | Model 1.8184 | x_y_time 0.0003 | pred 1.2773 | loss_time 0.0185
Epoch 00016 | Loss 0.7243 | Accuracy 0.8904 | Time : 3.9298 | loop 2.1113 | Model 1.8185 | x_y_time 0.0003 | pred 1.2772 | loss_time 0.0186
Epoch 00017 | Loss 0.7044 | Accuracy 0.8923 | Time : 3.9299 | loop 2.1109 | Model 1.8189 | x_y_time 0.0003 | pred 1.2772 | loss_time 0.0189
Epoch 00018 | Loss 0.6857 | Accuracy 0.8939 | Time : 3.9295 | loop 2.1097 | Model 1.8198 | x_y_time 0.0003 | pred 1.2781 | loss_time 0.0187
Epoch 00019 | Loss 0.6622 | Accuracy 0.8949 | Time : 3.9370 | loop 2.1147 | Model 1.8222 | x_y_time 0.0004 | pred 1.2785 | loss_time 0.0186
Epoch 00020 | Loss 0.6450 | Accuracy 0.8962 | Time : 3.9293 | loop 2.1091 | Model 1.8201 | x_y_time 0.0003 | pred 1.2778 | loss_time 0.0189
Epoch 00021 | Loss 0.6301 | Accuracy 0.8976 | Time : 3.9296 | loop 2.1092 | Model 1.8203 | x_y_time 0.0003 | pred 1.2785 | loss_time 0.0187
Epoch 00022 | Loss 0.6260 | Accuracy 0.8983 | Time : 3.9293 | loop 2.1089 | Model 1.8204 | x_y_time 0.0003 | pred 1.2784 | loss_time 0.0187
Epoch 00023 | Loss 0.6044 | Accuracy 0.8995 | Time : 3.9292 | loop 2.1083 | Model 1.8208 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0187
Epoch 00024 | Loss 0.5944 | Accuracy 0.9013 | Time : 3.9324 | loop 2.1104 | Model 1.8219 | x_y_time 0.0003 | pred 1.2784 | loss_time 0.0189
Epoch 00025 | Loss 0.5844 | Accuracy 0.9018 | Time : 3.9323 | loop 2.1108 | Model 1.8215 | x_y_time 0.0003 | pred 1.2789 | loss_time 0.0188
Epoch 00026 | Loss 0.5696 | Accuracy 0.9030 | Time : 3.9320 | loop 2.1096 | Model 1.8223 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0187
Epoch 00027 | Loss 0.5579 | Accuracy 0.9042 | Time : 3.9368 | loop 2.1139 | Model 1.8228 | x_y_time 0.0003 | pred 1.2791 | loss_time 0.0186
Epoch 00028 | Loss 0.5457 | Accuracy 0.9052 | Time : 3.9327 | loop 2.1113 | Model 1.8213 | x_y_time 0.0003 | pred 1.2790 | loss_time 0.0189
Epoch 00029 | Loss 0.5359 | Accuracy 0.9062 | Time : 3.9334 | loop 2.1126 | Model 1.8208 | x_y_time 0.0003 | pred 1.2777 | loss_time 0.0188
Epoch 00030 | Loss 0.5261 | Accuracy 0.9060 | Time : 3.9284 | loop 2.1076 | Model 1.8207 | x_y_time 0.0003 | pred 1.2774 | loss_time 0.0187
Epoch 00031 | Loss 0.5219 | Accuracy 0.9067 | Time : 3.9282 | loop 2.1072 | Model 1.8210 | x_y_time 0.0003 | pred 1.2785 | loss_time 0.0186
Epoch 00032 | Loss 0.5068 | Accuracy 0.9084 | Time : 3.9309 | loop 2.1105 | Model 1.8204 | x_y_time 0.0003 | pred 1.2779 | loss_time 0.0188
Epoch 00033 | Loss 0.5027 | Accuracy 0.9084 | Time : 3.9326 | loop 2.1104 | Model 1.8221 | x_y_time 0.0003 | pred 1.2777 | loss_time 0.0188
Epoch 00034 | Loss 0.4934 | Accuracy 0.9086 | Time : 3.9379 | loop 2.1150 | Model 1.8228 | x_y_time 0.0003 | pred 1.2795 | loss_time 0.0187
Epoch 00035 | Loss 0.4809 | Accuracy 0.9113 | Time : 3.9287 | loop 2.1088 | Model 1.8198 | x_y_time 0.0003 | pred 1.2774 | loss_time 0.0187
Epoch 00036 | Loss 0.4790 | Accuracy 0.9115 | Time : 3.9282 | loop 2.1078 | Model 1.8204 | x_y_time 0.0003 | pred 1.2779 | loss_time 0.0185
Epoch 00037 | Loss 0.4712 | Accuracy 0.9110 | Time : 3.9330 | loop 2.1113 | Model 1.8216 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0187
Epoch 00038 | Loss 0.4638 | Accuracy 0.9116 | Time : 3.9299 | loop 2.1095 | Model 1.8204 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0187
Epoch 00039 | Loss 0.4573 | Accuracy 0.9115 | Time : 3.9318 | loop 2.1104 | Model 1.8213 | x_y_time 0.0003 | pred 1.2781 | loss_time 0.0188
Epoch 00040 | Loss 0.4475 | Accuracy 0.9124 | Time : 3.9323 | loop 2.1104 | Model 1.8219 | x_y_time 0.0003 | pred 1.2783 | loss_time 0.0187
Epoch 00041 | Loss 0.4455 | Accuracy 0.9129 | Time : 3.9284 | loop 2.1077 | Model 1.8206 | x_y_time 0.0003 | pred 1.2784 | loss_time 0.0186
Epoch 00042 | Loss 0.4372 | Accuracy 0.9139 | Time : 3.9319 | loop 2.1109 | Model 1.8209 | x_y_time 0.0003 | pred 1.2773 | loss_time 0.0189
Epoch 00043 | Loss 0.4333 | Accuracy 0.9144 | Time : 3.9332 | loop 2.1108 | Model 1.8223 | x_y_time 0.0003 | pred 1.2785 | loss_time 0.0189
Epoch 00044 | Loss 0.4245 | Accuracy 0.9144 | Time : 3.9356 | loop 2.1132 | Model 1.8224 | x_y_time 0.0003 | pred 1.2790 | loss_time 0.0188
Epoch 00045 | Loss 0.4197 | Accuracy 0.9154 | Time : 3.9290 | loop 2.1083 | Model 1.8206 | x_y_time 0.0003 | pred 1.2776 | loss_time 0.0186
Epoch 00046 | Loss 0.4149 | Accuracy 0.9161 | Time : 3.9363 | loop 2.1135 | Model 1.8227 | x_y_time 0.0004 | pred 1.2781 | loss_time 0.0189
Epoch 00047 | Loss 0.4088 | Accuracy 0.9158 | Time : 3.9300 | loop 2.1100 | Model 1.8200 | x_y_time 0.0003 | pred 1.2781 | loss_time 0.0186
Epoch 00048 | Loss 0.4063 | Accuracy 0.9151 | Time : 3.9280 | loop 2.1082 | Model 1.8197 | x_y_time 0.0003 | pred 1.2770 | loss_time 0.0186
Epoch 00049 | Loss 0.3992 | Accuracy 0.9162 | Time : 3.9282 | loop 2.1084 | Model 1.8197 | x_y_time 0.0003 | pred 1.2776 | loss_time 0.0185
Epoch 00050 | Loss 0.3964 | Accuracy 0.9168 | Time : 3.9275 | loop 2.1071 | Model 1.8204 | x_y_time 0.0003 | pred 1.2783 | loss_time 0.0185
Epoch 00051 | Loss 0.3905 | Accuracy 0.9176 | Time : 3.9291 | loop 2.1093 | Model 1.8198 | x_y_time 0.0003 | pred 1.2772 | loss_time 0.0185
Epoch 00052 | Loss 0.3855 | Accuracy 0.9171 | Time : 3.9277 | loop 2.1086 | Model 1.8191 | x_y_time 0.0003 | pred 1.2772 | loss_time 0.0185
Epoch 00053 | Loss 0.3849 | Accuracy 0.9175 | Time : 3.9302 | loop 2.1095 | Model 1.8207 | x_y_time 0.0003 | pred 1.2785 | loss_time 0.0189
Epoch 00054 | Loss 0.3784 | Accuracy 0.9175 | Time : 3.9322 | loop 2.1113 | Model 1.8209 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0187
Epoch 00055 | Loss 0.3723 | Accuracy 0.9182 | Time : 3.9295 | loop 2.1094 | Model 1.8200 | x_y_time 0.0003 | pred 1.2770 | loss_time 0.0187
Epoch 00056 | Loss 0.3702 | Accuracy 0.9182 | Time : 3.9310 | loop 2.1094 | Model 1.8215 | x_y_time 0.0003 | pred 1.2786 | loss_time 0.0188
Epoch 00057 | Loss 0.3667 | Accuracy 0.9195 | Time : 3.9300 | loop 2.1095 | Model 1.8204 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0188
Epoch 00058 | Loss 0.3577 | Accuracy 0.9188 | Time : 3.9287 | loop 2.1088 | Model 1.8198 | x_y_time 0.0003 | pred 1.2769 | loss_time 0.0187
Epoch 00059 | Loss 0.3541 | Accuracy 0.9183 | Time : 3.9298 | loop 2.1087 | Model 1.8211 | x_y_time 0.0003 | pred 1.2782 | loss_time 0.0186
Epoch 00060 | Loss 0.3541 | Accuracy 0.9192 | Time : 3.9299 | loop 2.1095 | Model 1.8203 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0188
Epoch 00061 | Loss 0.3511 | Accuracy 0.9187 | Time : 3.9352 | loop 2.1132 | Model 1.8219 | x_y_time 0.0003 | pred 1.2779 | loss_time 0.0190
Epoch 00062 | Loss 0.3475 | Accuracy 0.9191 | Time : 3.9280 | loop 2.1081 | Model 1.8198 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0185
Epoch 00063 | Loss 0.3451 | Accuracy 0.9192 | Time : 3.9266 | loop 2.1074 | Model 1.8191 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0186
Epoch 00064 | Loss 0.3386 | Accuracy 0.9188 | Time : 3.9295 | loop 2.1106 | Model 1.8189 | x_y_time 0.0003 | pred 1.2766 | loss_time 0.0187
Epoch 00065 | Loss 0.3354 | Accuracy 0.9191 | Time : 3.9275 | loop 2.1077 | Model 1.8198 | x_y_time 0.0003 | pred 1.2777 | loss_time 0.0186
Epoch 00066 | Loss 0.3342 | Accuracy 0.9199 | Time : 3.9307 | loop 2.1110 | Model 1.8197 | x_y_time 0.0003 | pred 1.2783 | loss_time 0.0188
Epoch 00067 | Loss 0.3322 | Accuracy 0.9195 | Time : 3.9317 | loop 2.1107 | Model 1.8210 | x_y_time 0.0003 | pred 1.2769 | loss_time 0.0188
Epoch 00068 | Loss 0.3317 | Accuracy 0.9192 | Time : 3.9304 | loop 2.1102 | Model 1.8202 | x_y_time 0.0003 | pred 1.2773 | loss_time 0.0190
Epoch 00069 | Loss 0.3253 | Accuracy 0.9196 | Time : 3.9341 | loop 2.1122 | Model 1.8219 | x_y_time 0.0003 | pred 1.2788 | loss_time 0.0187
Epoch 00070 | Loss 0.3286 | Accuracy 0.9198 | Time : 3.9287 | loop 2.1093 | Model 1.8193 | x_y_time 0.0003 | pred 1.2768 | loss_time 0.0185
Epoch 00071 | Loss 0.3235 | Accuracy 0.9193 | Time : 3.9288 | loop 2.1094 | Model 1.8194 | x_y_time 0.0003 | pred 1.2768 | loss_time 0.0187
Epoch 00072 | Loss 0.3189 | Accuracy 0.9199 | Time : 3.9316 | loop 2.1098 | Model 1.8218 | x_y_time 0.0003 | pred 1.2790 | loss_time 0.0189
Epoch 00073 | Loss 0.3173 | Accuracy 0.9204 | Time : 3.9288 | loop 2.1092 | Model 1.8196 | x_y_time 0.0003 | pred 1.2773 | loss_time 0.0187
Epoch 00074 | Loss 0.3140 | Accuracy 0.9203 | Time : 3.9344 | loop 2.1135 | Model 1.8208 | x_y_time 0.0003 | pred 1.2776 | loss_time 0.0184
Epoch 00075 | Loss 0.3137 | Accuracy 0.9201 | Time : 3.9291 | loop 2.1091 | Model 1.8200 | x_y_time 0.0003 | pred 1.2778 | loss_time 0.0187
Epoch 00076 | Loss 0.3113 | Accuracy 0.9207 | Time : 3.9276 | loop 2.1083 | Model 1.8192 | x_y_time 0.0003 | pred 1.2774 | loss_time 0.0185
Epoch 00077 | Loss 0.3097 | Accuracy 0.9199 | Time : 3.9291 | loop 2.1100 | Model 1.8190 | x_y_time 0.0003 | pred 1.2768 | loss_time 0.0186
Epoch 00078 | Loss 0.3047 | Accuracy 0.9196 | Time : 3.9313 | loop 2.1109 | Model 1.8203 | x_y_time 0.0003 | pred 1.2782 | loss_time 0.0186
Epoch 00079 | Loss 0.3006 | Accuracy 0.9201 | Time : 3.9289 | loop 2.1091 | Model 1.8197 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0186
Epoch 00080 | Loss 0.2994 | Accuracy 0.9199 | Time : 3.9304 | loop 2.1102 | Model 1.8201 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0187
Epoch 00081 | Loss 0.2989 | Accuracy 0.9198 | Time : 3.9306 | loop 2.1099 | Model 1.8207 | x_y_time 0.0003 | pred 1.2778 | loss_time 0.0187
Epoch 00082 | Loss 0.2974 | Accuracy 0.9210 | Time : 3.9373 | loop 2.1146 | Model 1.8226 | x_y_time 0.0003 | pred 1.2783 | loss_time 0.0187
Epoch 00083 | Loss 0.2944 | Accuracy 0.9202 | Time : 3.9309 | loop 2.1115 | Model 1.8193 | x_y_time 0.0003 | pred 1.2768 | loss_time 0.0187
Epoch 00084 | Loss 0.2943 | Accuracy 0.9202 | Time : 3.9263 | loop 2.1075 | Model 1.8188 | x_y_time 0.0003 | pred 1.2770 | loss_time 0.0185
Epoch 00085 | Loss 0.2917 | Accuracy 0.9204 | Time : 3.9275 | loop 2.1079 | Model 1.8196 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0186
Epoch 00086 | Loss 0.2874 | Accuracy 0.9214 | Time : 3.9262 | loop 2.1076 | Model 1.8186 | x_y_time 0.0003 | pred 1.2767 | loss_time 0.0185
Epoch 00087 | Loss 0.2875 | Accuracy 0.9225 | Time : 3.9301 | loop 2.1085 | Model 1.8215 | x_y_time 0.0003 | pred 1.2776 | loss_time 0.0204
Epoch 00088 | Loss 0.2853 | Accuracy 0.9215 | Time : 3.9284 | loop 2.1086 | Model 1.8198 | x_y_time 0.0003 | pred 1.2775 | loss_time 0.0186
Epoch 00089 | Loss 0.2817 | Accuracy 0.9221 | Time : 3.9363 | loop 2.1148 | Model 1.8215 | x_y_time 0.0004 | pred 1.2777 | loss_time 0.0187
Epoch 00090 | Loss 0.2799 | Accuracy 0.9208 | Time : 3.9274 | loop 2.1079 | Model 1.8195 | x_y_time 0.0003 | pred 1.2776 | loss_time 0.0186
Epoch 00091 | Loss 0.2782 | Accuracy 0.9208 | Time : 3.9312 | loop 2.1106 | Model 1.8205 | x_y_time 0.0003 | pred 1.2785 | loss_time 0.0186
Epoch 00092 | Loss 0.2795 | Accuracy 0.9208 | Time : 3.9267 | loop 2.1082 | Model 1.8185 | x_y_time 0.0003 | pred 1.2767 | loss_time 0.0185
Epoch 00093 | Loss 0.2807 | Accuracy 0.9217 | Time : 3.9288 | loop 2.1088 | Model 1.8199 | x_y_time 0.0003 | pred 1.2777 | loss_time 0.0188
Epoch 00094 | Loss 0.2776 | Accuracy 0.9210 | Time : 3.9289 | loop 2.1091 | Model 1.8197 | x_y_time 0.0003 | pred 1.2780 | loss_time 0.0186
