Dataset = ogbn-arxiv, batch_size = 2048
Epoch 00000 | Loss 2.9484 | Accuracy 0.4047 | Time : 1.8500611782073975
Epoch 00001 | Loss 2.2083 | Accuracy 0.5162 | Time : 0.9634914398193359
Epoch 00002 | Loss 1.9069 | Accuracy 0.5482 | Time : 0.9570314884185791
Epoch 00003 | Loss 1.7652 | Accuracy 0.5650 | Time : 0.963364839553833
Epoch 00004 | Loss 1.6795 | Accuracy 0.5704 | Time : 0.9455745220184326
Epoch 00005 | Loss 1.6256 | Accuracy 0.5797 | Time : 0.9583239555358887
Epoch 00006 | Loss 1.5851 | Accuracy 0.5839 | Time : 0.9623675346374512
Epoch 00007 | Loss 1.5503 | Accuracy 0.5866 | Time : 0.9607200622558594
Epoch 00008 | Loss 1.5233 | Accuracy 0.5904 | Time : 0.9473230838775635
Epoch 00009 | Loss 1.5042 | Accuracy 0.5911 | Time : 0.9634988307952881
Epoch 00010 | Loss 1.4869 | Accuracy 0.5942 | Time : 0.9533121585845947
Epoch 00011 | Loss 1.4684 | Accuracy 0.5939 | Time : 0.958751916885376
Epoch 00012 | Loss 1.4537 | Accuracy 0.5979 | Time : 0.9564151763916016
Epoch 00013 | Loss 1.4466 | Accuracy 0.6020 | Time : 0.9615023136138916
Epoch 00014 | Loss 1.4333 | Accuracy 0.6008 | Time : 0.9545567035675049
Epoch 00015 | Loss 1.4228 | Accuracy 0.5981 | Time : 0.9685788154602051
Epoch 00016 | Loss 1.4234 | Accuracy 0.5998 | Time : 0.9639039039611816
Epoch 00017 | Loss 1.4090 | Accuracy 0.6002 | Time : 0.9632163047790527
Epoch 00018 | Loss 1.4049 | Accuracy 0.6038 | Time : 0.955315351486206
Epoch 00019 | Loss 1.3981 | Accuracy 0.6008 | Time : 0.9543161392211914
Epoch 00020 | Loss 1.3912 | Accuracy 0.6051 | Time : 0.9672086238861084
Epoch 00021 | Loss 1.3834 | Accuracy 0.6041 | Time : 0.9619350433349609
Epoch 00022 | Loss 1.3786 | Accuracy 0.6046 | Time : 0.9543473720550537
Epoch 00023 | Loss 1.3780 | Accuracy 0.6045 | Time : 0.9587786197662354
Epoch 00024 | Loss 1.3746 | Accuracy 0.6054 | Time : 0.9588479995727539
Epoch 00025 | Loss 1.3673 | Accuracy 0.6065 | Time : 0.9565868377685547
Epoch 00026 | Loss 1.3649 | Accuracy 0.6074 | Time : 0.9561002254486084
Epoch 00027 | Loss 1.3629 | Accuracy 0.6073 | Time : 0.9663715362548828
Epoch 00028 | Loss 1.3595 | Accuracy 0.6080 | Time : 0.9511196613311768
Epoch 00029 | Loss 1.3550 | Accuracy 0.6112 | Time : 0.964550256729126
Epoch 00030 | Loss 1.3513 | Accuracy 0.6068 | Time : 0.9548094272613525
