Dataset = ogbn-products, batch_size = 2048
Epoch 00000 | Loss 2.6597 | Accuracy 0.5207 | Time : 28.989402532577515
Epoch 00001 | Loss 1.8368 | Accuracy 0.6103 | Time : 28.08442974090576
Epoch 00002 | Loss 1.6053 | Accuracy 0.6475 | Time : 28.0710666179657
Epoch 00003 | Loss 1.4992 | Accuracy 0.6612 | Time : 28.002524852752686
Epoch 00004 | Loss 1.4121 | Accuracy 0.6686 | Time : 28.124285459518433
Epoch 00005 | Loss 1.3421 | Accuracy 0.6838 | Time : 28.012819528579712
Epoch 00006 | Loss 1.2984 | Accuracy 0.6900 | Time : 28.144774675369263
Epoch 00007 | Loss 1.2641 | Accuracy 0.6918 | Time : 28.03755521774292
Epoch 00008 | Loss 1.2421 | Accuracy 0.7039 | Time : 28.15220284461975
Epoch 00009 | Loss 1.1975 | Accuracy 0.7085 | Time : 28.131298780441284
Epoch 00010 | Loss 1.1736 | Accuracy 0.7065 | Time : 28.04918360710144
Epoch 00011 | Loss 1.1643 | Accuracy 0.7108 | Time : 28.11383581161499
Epoch 00012 | Loss 1.1363 | Accuracy 0.7137 | Time : 28.060921907424927
Epoch 00013 | Loss 1.1132 | Accuracy 0.7138 | Time : 28.064930200576782
Epoch 00014 | Loss 1.1069 | Accuracy 0.7185 | Time : 28.069554090499878
Epoch 00015 | Loss 1.0982 | Accuracy 0.7218 | Time : 27.991914987564087
Epoch 00016 | Loss 1.0940 | Accuracy 0.7162 | Time : 27.992619514465332
Epoch 00017 | Loss 1.0798 | Accuracy 0.7258 | Time : 28.10209822654724
Epoch 00018 | Loss 1.0725 | Accuracy 0.7182 | Time : 28.072148323059082
Epoch 00019 | Loss 1.0874 | Accuracy 0.7298 | Time : 28.027111053466797
Epoch 00020 | Loss 1.0682 | Accuracy 0.7358 | Time : 28.049282789230347
Epoch 00021 | Loss 1.0543 | Accuracy 0.7305 | Time : 28.03796625137329
Epoch 00022 | Loss 1.0499 | Accuracy 0.7270 | Time : 28.068917274475098
Epoch 00023 | Loss 1.0374 | Accuracy 0.7362 | Time : 28.04187035560608
Epoch 00024 | Loss 1.0303 | Accuracy 0.7362 | Time : 28.084380626678467
Epoch 00025 | Loss 1.0302 | Accuracy 0.7383 | Time : 28.051000595092773
Epoch 00026 | Loss 1.0202 | Accuracy 0.7390 | Time : 28.068252086639404
Epoch 00027 | Loss 1.0262 | Accuracy 0.7400 | Time : 28.081734895706177
Epoch 00028 | Loss 1.0120 | Accuracy 0.7364 | Time : 28.020024299621582
Epoch 00029 | Loss 1.0164 | Accuracy 0.7401 | Time : 28.08712649345398
Epoch 00030 | Loss 1.0234 | Accuracy 0.7441 | Time : 28.095272064208984
Epoch 00031 | Loss 1.0141 | Accuracy 0.7423 | Time : 28.063812017440796
Epoch 00032 | Loss 1.0073 | Accuracy 0.7434 | Time : 27.999002695083618
Epoch 00033 | Loss 0.9982 | Accuracy 0.7448 | Time : 27.999245166778564
Epoch 00034 | Loss 0.9849 | Accuracy 0.7425 | Time : 27.986063480377197
Epoch 00035 | Loss 0.9962 | Accuracy 0.7434 | Time : 27.990964889526367
Epoch 00036 | Loss 0.9989 | Accuracy 0.7439 | Time : 28.106029510498047
Epoch 00037 | Loss 0.9779 | Accuracy 0.7354 | Time : 28.015503406524658
Epoch 00038 | Loss 0.9815 | Accuracy 0.7435 | Time : 28.002959966659546
Epoch 00039 | Loss 0.9744 | Accuracy 0.7498 | Time : 27.974995136260986
Epoch 00040 | Loss 0.9784 | Accuracy 0.7502 | Time : 27.990851879119873
Epoch 00041 | Loss 0.9685 | Accuracy 0.7483 | Time : 27.932382822036743
Epoch 00042 | Loss 0.9654 | Accuracy 0.7336 | Time : 32.139700174331665
Epoch 00043 | Loss 0.9776 | Accuracy 0.7502 | Time : 28.010538578033447
Epoch 00044 | Loss 0.9767 | Accuracy 0.7460 | Time : 28.048434019088745
Epoch 00045 | Loss 0.9779 | Accuracy 0.7519 | Time : 28.030566692352295
Epoch 00046 | Loss 0.9671 | Accuracy 0.7432 | Time : 28.029250860214233
Epoch 00047 | Loss 0.9609 | Accuracy 0.7500 | Time : 28.074381828308105
Epoch 00048 | Loss 0.9689 | Accuracy 0.7362 | Time : 28.029041051864624
Epoch 00049 | Loss 0.9960 | Accuracy 0.7483 | Time : 28.221243381500244
Epoch 00050 | Loss 0.9752 | Accuracy 0.7478 | Time : 28.068485021591187
Epoch 00051 | Loss 0.9674 | Accuracy 0.7532 | Time : 28.064911127090454
Epoch 00052 | Loss 0.9680 | Accuracy 0.7550 | Time : 28.01622200012207
Epoch 00053 | Loss 0.9572 | Accuracy 0.7545 | Time : 28.023685455322266
Epoch 00054 | Loss 0.9610 | Accuracy 0.7509 | Time : 28.0314359664917
Epoch 00055 | Loss 0.9674 | Accuracy 0.7455 | Time : 28.008881330490112
Epoch 00056 | Loss 0.9698 | Accuracy 0.7522 | Time : 28.04852843284607
Epoch 00057 | Loss 0.9607 | Accuracy 0.7547 | Time : 28.145902633666992
Epoch 00058 | Loss 0.9459 | Accuracy 0.7351 | Time : 28.059366703033447
Epoch 00059 | Loss 0.9501 | Accuracy 0.7536 | Time : 28.016074657440186
Epoch 00060 | Loss 0.9646 | Accuracy 0.7559 | Time : 28.106114387512207
Epoch 00061 | Loss 0.9621 | Accuracy 0.7534 | Time : 28.090202569961548
Epoch 00062 | Loss 0.9678 | Accuracy 0.7389 | Time : 28.04149293899536
Epoch 00063 | Loss 0.9566 | Accuracy 0.7550 | Time : 28.067729949951172
Epoch 00064 | Loss 0.9466 | Accuracy 0.7530 | Time : 28.078134536743164
Epoch 00065 | Loss 0.9461 | Accuracy 0.7544 | Time : 28.092856407165527
Epoch 00066 | Loss 0.9381 | Accuracy 0.7563 | Time : 28.040186882019043
Epoch 00067 | Loss 0.9403 | Accuracy 0.7542 | Time : 28.03726315498352
Epoch 00068 | Loss 0.9441 | Accuracy 0.7580 | Time : 28.037341117858887
