cuda, sapmling, time:, 0.000118
cuda, sapmling, time:, 0.000686
cuda, sapmling, time:, 0.001001
cuda, sapmling, time:, 0.000113
cuda, sapmling, time:, 0.000551
cuda, sapmling, time:, 0.000887
cuda, sapmling, time:, 0.000111
cuda, sapmling, time:, 0.000384
cuda, sapmling, time:, 0.001773
cuda, sapmling, time:, 0.001030
cuda, sapmling, time:, 0.001706
cuda, sapmling, time:, 0.001820
cuda, sapmling, time:, 0.000166
cuda, sapmling, time:, 0.001008
cuda, sapmling, time:, 0.001331
cuda, sapmling, time:, 0.000318
cuda, sapmling, time:, 0.000685
cuda, sapmling, time:, 0.001902
cuda, sapmling, time:, 0.000234
cuda, sapmling, time:, 0.001660
cuda, sapmling, time:, 0.001967
cuda, sapmling, time:, 0.000450
cuda, sapmling, time:, 0.000551
cuda, sapmling, time:, 0.000934
cuda, sapmling, time:, 0.000224
cuda, sapmling, time:, 0.000438
cuda, sapmling, time:, 0.001327
cuda, sapmling, time:, 0.000341
cuda, sapmling, time:, 0.000484
cuda, sapmling, time:, 0.001800
cuda, sapmling, time:, 0.000131
cuda, sapmling, time:, 0.000314
cuda, sapmling, time:, 0.001820
cuda, sapmling, time:, 0.000218
cuda, sapmling, time:, 0.001828
cuda, sapmling, time:, 0.002049
cuda, sapmling, time:, 0.000097
cuda, sapmling, time:, 0.000238
cuda, sapmling, time:, 0.001828
cuda, sapmling, time:, 0.000203
cuda, sapmling, time:, 0.000438
cuda, sapmling, time:, 0.000898
cuda, sapmling, time:, 0.000232
cuda, sapmling, time:, 0.000576
cuda, sapmling, time:, 0.001840
cuda, sapmling, time:, 0.000143
cuda, sapmling, time:, 0.001843
cuda, sapmling, time:, 0.002107
cuda, sapmling, time:, 0.000425
cuda, sapmling, time:, 0.000564
cuda, sapmling, time:, 0.001857
cuda, sapmling, time:, 0.001119
cuda, sapmling, time:, 0.001749
cuda, sapmling, time:, 0.001943
cuda, sapmling, time:, 0.000259
cuda, sapmling, time:, 0.000451
cuda, sapmling, time:, 0.001997
cuda, sapmling, time:, 0.000208
cuda, sapmling, time:, 0.001385
cuda, sapmling, time:, 0.001638
cuda, sapmling, time:, 0.000299
cuda, sapmling, time:, 0.000413
cuda, sapmling, time:, 0.001860
cuda, sapmling, time:, 0.000140
cuda, sapmling, time:, 0.000438
cuda, sapmling, time:, 0.000938
cuda, sapmling, time:, 0.000172
cuda, sapmling, time:, 0.000992
cuda, sapmling, time:, 0.001927
cuda, sapmling, time:, 0.000391
cuda, sapmling, time:, 0.000507
cuda, sapmling, time:, 0.000893
cuda, sapmling, time:, 0.000168
cuda, sapmling, time:, 0.001069
cuda, sapmling, time:, 0.001349
cuda, sapmling, time:, 0.000093
cuda, sapmling, time:, 0.001421
cuda, sapmling, time:, 0.001785
cuda, sapmling, time:, 0.000410
cuda, sapmling, time:, 0.001801
cuda, sapmling, time:, 0.001985
cuda, sapmling, time:, 0.000270
cuda, sapmling, time:, 0.001429
cuda, sapmling, time:, 0.001933
cuda, sapmling, time:, 0.000272
cuda, sapmling, time:, 0.000583
cuda, sapmling, time:, 0.001847
cuda, sapmling, time:, 0.000333
cuda, sapmling, time:, 0.000504
cuda, sapmling, time:, 0.001773
cuda, sapmling, time:, 0.000748
cuda, sapmling, time:, 0.000863
cuda, sapmling, time:, 0.001848
cuda, sapmling, time:, 0.000543
cuda, sapmling, time:, 0.000650
cuda, sapmling, time:, 0.001850
cuda, sapmling, time:, 0.000888
cuda, sapmling, time:, 0.001029
cuda, sapmling, time:, 0.001873
cuda, sapmling, time:, 0.000344
cuda, sapmling, time:, 0.000848
cuda, sapmling, time:, 0.001293
cuda, sapmling, time:, 0.001246
cuda, sapmling, time:, 0.001363
cuda, sapmling, time:, 0.001730
cuda, sapmling, time:, 0.005283
cuda, sapmling, time:, 0.005362
cuda, sapmling, time:, 0.005535
cuda, sapmling, time:, 0.000208
cuda, sapmling, time:, 0.000648
cuda, sapmling, time:, 0.001800
cuda, sapmling, time:, 0.000131
cuda, sapmling, time:, 0.000446
cuda, sapmling, time:, 0.001797
cuda, sapmling, time:, 0.000663
cuda, sapmling, time:, 0.000796
cuda, sapmling, time:, 0.001090
cuda, sapmling, time:, 0.000282
cuda, sapmling, time:, 0.000492
cuda, sapmling, time:, 0.001812
cuda, sapmling, time:, 0.000094
cuda, sapmling, time:, 0.001604
cuda, sapmling, time:, 0.001776
cuda, sapmling, time:, 0.001338
cuda, sapmling, time:, 0.001520
cuda, sapmling, time:, 0.001725
cuda, sapmling, time:, 0.000106
cuda, sapmling, time:, 0.000933
cuda, sapmling, time:, 0.001775
cuda, sapmling, time:, 0.001535
cuda, sapmling, time:, 0.001652
cuda, sapmling, time:, 0.001916
cuda, sapmling, time:, 0.001418
cuda, sapmling, time:, 0.001552
cuda, sapmling, time:, 0.001826
cuda, sapmling, time:, 0.000256
cuda, sapmling, time:, 0.000527
cuda, sapmling, time:, 0.001811
cuda, sapmling, time:, 0.001040
cuda, sapmling, time:, 0.004905
cuda, sapmling, time:, 0.005351
cuda, sapmling, time:, 0.000155
cuda, sapmling, time:, 0.001305
cuda, sapmling, time:, 0.001662
cuda, sapmling, time:, 0.001460
cuda, sapmling, time:, 0.001562
cuda, sapmling, time:, 0.001854
cuda, sapmling, time:, 0.000214
cuda, sapmling, time:, 0.000409
cuda, sapmling, time:, 0.001749
cuda, sapmling, time:, 0.000114
cuda, sapmling, time:, 0.000421
cuda, sapmling, time:, 0.001735
cuda, sapmling, time:, 0.004962
cuda, sapmling, time:, 0.005024
cuda, sapmling, time:, 0.005189
cuda, sapmling, time:, 0.000294
cuda, sapmling, time:, 0.000558
cuda, sapmling, time:, 0.000809
cuda, sapmling, time:, 0.000383
cuda, sapmling, time:, 0.000634
cuda, sapmling, time:, 0.001829
cuda, sapmling, time:, 0.000267
cuda, sapmling, time:, 0.000685
cuda, sapmling, time:, 0.001738
cuda, sapmling, time:, 0.000373
cuda, sapmling, time:, 0.000791
cuda, sapmling, time:, 0.001792
cuda, sapmling, time:, 0.003718
cuda, sapmling, time:, 0.003800
cuda, sapmling, time:, 0.003995
cuda, sapmling, time:, 0.000245
cuda, sapmling, time:, 0.004995
cuda, sapmling, time:, 0.005168
cuda, sapmling, time:, 0.000127
cuda, sapmling, time:, 0.000362
cuda, sapmling, time:, 0.001781
cuda, sapmling, time:, 0.001742
cuda, sapmling, time:, 0.001860
cuda, sapmling, time:, 0.002029
cuda, sapmling, time:, 0.000284
cuda, sapmling, time:, 0.000519
cuda, sapmling, time:, 0.000879
cuda, sapmling, time:, 0.000679
cuda, sapmling, time:, 0.001681
cuda, sapmling, time:, 0.001946
cuda, sapmling, time:, 0.000132
cuda, sapmling, time:, 0.000631
cuda, sapmling, time:, 0.001729
cuda, sapmling, time:, 0.000620
cuda, sapmling, time:, 0.001550
cuda, sapmling, time:, 0.001801
cuda, sapmling, time:, 0.000091
cuda, sapmling, time:, 0.000431
cuda, sapmling, time:, 0.001968
cuda, sapmling, time:, 0.000088
cuda, sapmling, time:, 0.000411
cuda, sapmling, time:, 0.000861
cuda, sapmling, time:, 0.000094
cuda, sapmling, time:, 0.000800
cuda, sapmling, time:, 0.001799
cuda, sapmling, time:, 0.000579
cuda, sapmling, time:, 0.000681
