cuda, sapmling, time:, 0.001162
cuda, sapmling, time:, 0.001644
cuda, sapmling, time:, 0.002607
cuda, sapmling, time:, 0.000256
cuda, sapmling, time:, 0.005620
cuda, sapmling, time:, 0.006307
cuda, sapmling, time:, 0.000330
cuda, sapmling, time:, 0.001110
cuda, sapmling, time:, 0.002571
cuda, sapmling, time:, 0.000310
cuda, sapmling, time:, 0.001634
cuda, sapmling, time:, 0.002395
cuda, sapmling, time:, 0.000355
cuda, sapmling, time:, 0.000778
cuda, sapmling, time:, 0.002613
cuda, sapmling, time:, 0.000634
cuda, sapmling, time:, 0.001875
cuda, sapmling, time:, 0.002482
cuda, sapmling, time:, 0.005339
cuda, sapmling, time:, 0.005294
cuda, sapmling, time:, 0.006011
cuda, sapmling, time:, 0.002064
cuda, sapmling, time:, 0.002330
cuda, sapmling, time:, 0.002918
cuda, sapmling, time:, 0.000988
cuda, sapmling, time:, 0.001335
cuda, sapmling, time:, 0.002586
cuda, sapmling, time:, 0.001319
cuda, sapmling, time:, 0.001951
cuda, sapmling, time:, 0.002780
cuda, sapmling, time:, 0.000377
cuda, sapmling, time:, 0.000965
cuda, sapmling, time:, 0.002535
cuda, sapmling, time:, 0.000462
cuda, sapmling, time:, 0.000776
cuda, sapmling, time:, 0.002529
cuda, sapmling, time:, 0.001509
cuda, sapmling, time:, 0.001828
cuda, sapmling, time:, 0.002484
cuda, sapmling, time:, 0.000399
cuda, sapmling, time:, 0.001865
cuda, sapmling, time:, 0.002551
cuda, sapmling, time:, 0.000722
cuda, sapmling, time:, 0.001606
cuda, sapmling, time:, 0.002505
cuda, sapmling, time:, 0.000566
cuda, sapmling, time:, 0.000913
cuda, sapmling, time:, 0.001864
cuda, sapmling, time:, 0.001640
cuda, sapmling, time:, 0.001903
cuda, sapmling, time:, 0.002505
cuda, sapmling, time:, 0.000206
cuda, sapmling, time:, 0.000875
cuda, sapmling, time:, 0.002355
cuda, sapmling, time:, 0.000356
cuda, sapmling, time:, 0.001935
cuda, sapmling, time:, 0.002669
cuda, sapmling, time:, 0.001017
cuda, sapmling, time:, 0.001386
cuda, sapmling, time:, 0.002842
cuda, sapmling, time:, 0.001387
cuda, sapmling, time:, 0.001910
cuda, sapmling, time:, 0.002662
cuda, sapmling, time:, 0.000891
cuda, sapmling, time:, 0.001742
cuda, sapmling, time:, 0.002473
cuda, sapmling, time:, 0.000631
cuda, sapmling, time:, 0.001022
cuda, sapmling, time:, 0.002513
cuda, sapmling, time:, 0.001388
cuda, sapmling, time:, 0.001753
cuda, sapmling, time:, 0.002572
cuda, sapmling, time:, 0.000382
cuda, sapmling, time:, 0.001217
cuda, sapmling, time:, 0.002578
cuda, sapmling, time:, 0.000626
cuda, sapmling, time:, 0.001035
cuda, sapmling, time:, 0.002593
cuda, sapmling, time:, 0.000136
cuda, sapmling, time:, 0.000940
cuda, sapmling, time:, 0.002416
cuda, sapmling, time:, 0.000309
cuda, sapmling, time:, 0.001245
cuda, sapmling, time:, 0.006188
cuda, sapmling, time:, 0.000128
cuda, sapmling, time:, 0.000882
cuda, sapmling, time:, 0.002529
cuda, sapmling, time:, 0.000321
cuda, sapmling, time:, 0.000991
cuda, sapmling, time:, 0.002728
cuda, sapmling, time:, 0.000282
cuda, sapmling, time:, 0.001547
cuda, sapmling, time:, 0.002455
cuda, sapmling, time:, 0.000333
cuda, sapmling, time:, 0.000697
cuda, sapmling, time:, 0.006182
cuda, sapmling, time:, 0.000376
cuda, sapmling, time:, 0.001578
cuda, sapmling, time:, 0.002636
cuda, sapmling, time:, 0.000342
cuda, sapmling, time:, 0.001841
cuda, sapmling, time:, 0.002586
cuda, sapmling, time:, 0.003853
cuda, sapmling, time:, 0.004112
cuda, sapmling, time:, 0.004734
cuda, sapmling, time:, 0.000357
cuda, sapmling, time:, 0.002176
cuda, sapmling, time:, 0.002907
cuda, sapmling, time:, 0.000180
cuda, sapmling, time:, 0.001052
cuda, sapmling, time:, 0.002534
cuda, sapmling, time:, 0.000243
cuda, sapmling, time:, 0.001857
cuda, sapmling, time:, 0.002649
cuda, sapmling, time:, 0.001570
cuda, sapmling, time:, 0.001874
cuda, sapmling, time:, 0.002497
cuda, sapmling, time:, 0.000439
cuda, sapmling, time:, 0.001751
cuda, sapmling, time:, 0.002538
cuda, sapmling, time:, 0.000595
cuda, sapmling, time:, 0.001713
cuda, sapmling, time:, 0.002564
cuda, sapmling, time:, 0.000683
cuda, sapmling, time:, 0.002208
cuda, sapmling, time:, 0.002972
cuda, sapmling, time:, 0.000416
cuda, sapmling, time:, 0.001800
Training in mixed mode.
Loading data
Graph(num_nodes=169343, num_edges=1166243,
      ndata_schemes={'test_mask': Scheme(shape=(), dtype=torch.uint8), 'val_mask': Scheme(shape=(), dtype=torch.uint8), 'train_mask': Scheme(shape=(), dtype=torch.uint8), 'feat': Scheme(shape=(128,), dtype=torch.float32), 'label': Scheme(shape=(), dtype=torch.int64), 'year': Scheme(shape=(1,), dtype=torch.int64)}
      edata_schemes={})
<class 'dgl.heterograph.DGLGraph'>
partition start
Convert a graph into a bidirected graph: 0.066 seconds, peak memory: 12.542 GB
Construct multi-constraint weights: 0.000 seconds, peak memory: 12.542 GB
Metis partitioning: 0.456 seconds, peak memory: 12.661 GB
torch.Size([169343])
Array computation done and passed to neighbour.py line 631
Training...
Epoch 00000 | Loss 2.9090 | Accuracy 0.4107 | Time : 1.8735809326171875
 Total Training Time 1.8736 seconds
Testing...
Test Accuracy 0.3406
cuda, sapmling, time:, 0.002472
cuda, sapmling, time:, 0.005176
cuda, sapmling, time:, 0.005412
cuda, sapmling, time:, 0.006063
cuda, sapmling, time:, 0.001478
cuda, sapmling, time:, 0.005030
cuda, sapmling, time:, 0.005363
cuda, sapmling, time:, 0.000135
cuda, sapmling, time:, 0.001605
cuda, sapmling, time:, 0.001923
cuda, sapmling, time:, 0.000087
cuda, sapmling, time:, 0.000424
cuda, sapmling, time:, 0.001899
cuda, sapmling, time:, 0.000877
cuda, sapmling, time:, 0.001058
cuda, sapmling, time:, 0.001862
cuda, sapmling, time:, 0.000079
cuda, sapmling, time:, 0.001648
cuda, sapmling, time:, 0.001983
cuda, sapmling, time:, 0.000113
cuda, sapmling, time:, 0.001623
cuda, sapmling, time:, 0.002029
cuda, sapmling, time:, 0.000083
cuda, sapmling, time:, 0.001618
cuda, sapmling, time:, 0.001974
cuda, sapmling, time:, 0.000071
cuda, sapmling, time:, 0.001549
cuda, sapmling, time:, 0.005377
cuda, sapmling, time:, 0.000073
cuda, sapmling, time:, 0.000754
cuda, sapmling, time:, 0.001980
cuda, sapmling, time:, 0.000116
cuda, sapmling, time:, 0.001628
cuda, sapmling, time:, 0.002014
cuda, sapmling, time:, 0.000115
cuda, sapmling, time:, 0.000373
cuda, sapmling, time:, 0.001303
cuda, sapmling, time:, 0.000178
cuda, sapmling, time:, 0.001529
cuda, sapmling, time:, 0.001985
cuda, sapmling, time:, 0.000097
cuda, sapmling, time:, 0.000814
cuda, sapmling, time:, 0.005380
cuda, sapmling, time:, 0.000090
cuda, sapmling, time:, 0.001593
cuda, sapmling, time:, 0.001930
cuda, sapmling, time:, 0.000445
cuda, sapmling, time:, 0.000666
cuda, sapmling, time:, 0.001942
cuda, sapmling, time:, 0.000050
cuda, sapmling, time:, 0.000222
cuda, sapmling, time:, 0.001737
