Dataset = ogbn-products, batch_size = 4096
Epoch 00000 | Loss 3.2340 | Accuracy 0.3869 | Time : 9.209641218185425
Epoch 00001 | Loss 2.2833 | Accuracy 0.4678 | Time : 8.202520847320557
Epoch 00002 | Loss 2.0385 | Accuracy 0.5362 | Time : 8.1938636302948
Epoch 00003 | Loss 1.8870 | Accuracy 0.5652 | Time : 8.218697309494019
Epoch 00004 | Loss 1.8079 | Accuracy 0.5947 | Time : 8.31219744682312
Epoch 00005 | Loss 1.6990 | Accuracy 0.6076 | Time : 8.131787300109863
Epoch 00006 | Loss 1.6264 | Accuracy 0.6217 | Time : 8.151980876922607
Epoch 00007 | Loss 1.5518 | Accuracy 0.6289 | Time : 8.354547500610352
Epoch 00008 | Loss 1.5217 | Accuracy 0.6354 | Time : 8.251240015029907
Epoch 00009 | Loss 1.4806 | Accuracy 0.6431 | Time : 8.191036939620972
Epoch 00010 | Loss 1.4361 | Accuracy 0.6504 | Time : 8.197858572006226
Epoch 00011 | Loss 1.4411 | Accuracy 0.6582 | Time : 8.14928936958313
Epoch 00012 | Loss 1.3991 | Accuracy 0.6592 | Time : 8.208724021911621
Epoch 00013 | Loss 1.3878 | Accuracy 0.6625 | Time : 8.206701040267944
Epoch 00014 | Loss 1.3831 | Accuracy 0.6670 | Time : 8.136989831924438
Epoch 00015 | Loss 1.3402 | Accuracy 0.6712 | Time : 8.168746709823608
Epoch 00016 | Loss 1.3164 | Accuracy 0.6762 | Time : 8.170992851257324
Epoch 00017 | Loss 1.3274 | Accuracy 0.6781 | Time : 8.209519147872925
Epoch 00018 | Loss 1.3016 | Accuracy 0.6729 | Time : 8.1748948097229
Epoch 00019 | Loss 1.2877 | Accuracy 0.6822 | Time : 8.212625503540039
Epoch 00020 | Loss 1.2484 | Accuracy 0.6875 | Time : 8.181466817855835
Epoch 00021 | Loss 1.2361 | Accuracy 0.6854 | Time : 8.155880689620972
Epoch 00022 | Loss 1.2364 | Accuracy 0.6853 | Time : 8.184616327285767
Epoch 00023 | Loss 1.2302 | Accuracy 0.6876 | Time : 8.236021518707275
Epoch 00024 | Loss 1.2142 | Accuracy 0.6855 | Time : 8.238384485244751
Epoch 00025 | Loss 1.2207 | Accuracy 0.6893 | Time : 8.186891078948975
Epoch 00026 | Loss 1.2238 | Accuracy 0.6918 | Time : 8.235323429107666
Epoch 00027 | Loss 1.2077 | Accuracy 0.6927 | Time : 8.195091724395752
Epoch 00028 | Loss 1.1802 | Accuracy 0.6912 | Time : 8.205368757247925
Epoch 00029 | Loss 1.1874 | Accuracy 0.6961 | Time : 8.187857627868652
Epoch 00030 | Loss 1.1772 | Accuracy 0.6960 | Time : 8.253878593444824
Epoch 00031 | Loss 1.1668 | Accuracy 0.6993 | Time : 8.157033205032349
Epoch 00032 | Loss 1.1653 | Accuracy 0.7004 | Time : 8.193995237350464
Epoch 00033 | Loss 1.1518 | Accuracy 0.7011 | Time : 8.169550657272339
Epoch 00034 | Loss 1.1451 | Accuracy 0.6973 | Time : 8.222662925720215
Epoch 00035 | Loss 1.1415 | Accuracy 0.7043 | Time : 8.168083190917969
Epoch 00036 | Loss 1.1377 | Accuracy 0.7011 | Time : 8.168964385986328
Epoch 00037 | Loss 1.1453 | Accuracy 0.7023 | Time : 8.213319778442383
Epoch 00038 | Loss 1.1336 | Accuracy 0.7059 | Time : 8.163816690444946
Epoch 00039 | Loss 1.1168 | Accuracy 0.7069 | Time : 8.1688232421875
Epoch 00040 | Loss 1.1159 | Accuracy 0.7068 | Time : 8.188169479370117
Epoch 00041 | Loss 1.1200 | Accuracy 0.7040 | Time : 8.154232263565063
Epoch 00042 | Loss 1.1198 | Accuracy 0.7113 | Time : 8.193806171417236
Epoch 00043 | Loss 1.1154 | Accuracy 0.7112 | Time : 8.221787929534912
Epoch 00044 | Loss 1.1181 | Accuracy 0.7138 | Time : 8.177051544189453
Epoch 00045 | Loss 1.1053 | Accuracy 0.7094 | Time : 8.138673067092896
Epoch 00046 | Loss 1.1044 | Accuracy 0.7136 | Time : 8.167454719543457
Epoch 00047 | Loss 1.1225 | Accuracy 0.7081 | Time : 8.161131381988525
Epoch 00048 | Loss 1.1200 | Accuracy 0.7143 | Time : 8.165552377700806
Epoch 00049 | Loss 1.1020 | Accuracy 0.7109 | Time : 8.133987188339233
Epoch 00050 | Loss 1.1249 | Accuracy 0.7126 | Time : 7.331242084503174
Epoch 00051 | Loss 1.1044 | Accuracy 0.7159 | Time : 7.307406187057495
Epoch 00052 | Loss 1.0998 | Accuracy 0.7112 | Time : 7.350430011749268
Epoch 00053 | Loss 1.1060 | Accuracy 0.7127 | Time : 7.332763433456421
Epoch 00054 | Loss 1.1060 | Accuracy 0.7154 | Time : 7.3448569774627686
Epoch 00055 | Loss 1.0802 | Accuracy 0.7158 | Time : 7.309781789779663
Epoch 00056 | Loss 1.0829 | Accuracy 0.7147 | Time : 7.334754943847656
Epoch 00057 | Loss 1.0658 | Accuracy 0.7183 | Time : 7.314595937728882
Epoch 00058 | Loss 1.0589 | Accuracy 0.7210 | Time : 7.370948076248169
Epoch 00059 | Loss 1.0539 | Accuracy 0.7166 | Time : 7.3420116901397705
Epoch 00060 | Loss 1.0534 | Accuracy 0.7122 | Time : 7.37561297416687
Epoch 00061 | Loss 1.0744 | Accuracy 0.7207 | Time : 7.338920831680298
Epoch 00062 | Loss 1.0599 | Accuracy 0.7187 | Time : 7.3392555713653564
Epoch 00063 | Loss 1.0607 | Accuracy 0.7131 | Time : 7.331683874130249
Epoch 00064 | Loss 1.0610 | Accuracy 0.7169 | Time : 7.310325622558594
Epoch 00065 | Loss 1.0646 | Accuracy 0.7161 | Time : 7.328501462936401
Epoch 00066 | Loss 1.0540 | Accuracy 0.7230 | Time : 7.297344207763672
Epoch 00067 | Loss 1.0393 | Accuracy 0.7221 | Time : 7.3125388622283936
Epoch 00068 | Loss 1.0355 | Accuracy 0.7241 | Time : 7.323896884918213
Epoch 00069 | Loss 1.0727 | Accuracy 0.7247 | Time : 7.338676452636719
Epoch 00070 | Loss 1.0749 | Accuracy 0.7223 | Time : 8.259584188461304
Epoch 00071 | Loss 1.0612 | Accuracy 0.7213 | Time : 8.299492597579956
Epoch 00072 | Loss 1.0750 | Accuracy 0.7230 | Time : 8.26759958267212
Epoch 00073 | Loss 1.0673 | Accuracy 0.7201 | Time : 8.24200701713562
Epoch 00074 | Loss 1.0777 | Accuracy 0.7229 | Time : 8.288448810577393
Epoch 00075 | Loss 1.0619 | Accuracy 0.7182 | Time : 8.298104286193848
Epoch 00076 | Loss 1.0729 | Accuracy 0.7222 | Time : 8.273653030395508
Epoch 00077 | Loss 1.0677 | Accuracy 0.7201 | Time : 8.303632974624634
Epoch 00078 | Loss 1.0573 | Accuracy 0.7213 | Time : 8.28746509552002
Epoch 00079 | Loss 1.0573 | Accuracy 0.7231 | Time : 8.236125469207764
Epoch 00080 | Loss 1.0555 | Accuracy 0.7257 | Time : 8.294357299804688
Epoch 00081 | Loss 1.0478 | Accuracy 0.7237 | Time : 8.323408842086792
Epoch 00082 | Loss 1.0290 | Accuracy 0.7255 | Time : 8.32982325553894
Epoch 00083 | Loss 1.0360 | Accuracy 0.7255 | Time : 8.285831689834595
Epoch 00084 | Loss 1.0361 | Accuracy 0.7261 | Time : 8.240822076797485
Epoch 00085 | Loss 1.0268 | Accuracy 0.7279 | Time : 8.291674852371216
Epoch 00086 | Loss 1.0193 | Accuracy 0.7262 | Time : 8.28710150718689
Epoch 00087 | Loss 1.0478 | Accuracy 0.7256 | Time : 8.273182392120361
Epoch 00088 | Loss 1.0369 | Accuracy 0.7245 | Time : 8.299089670181274
Epoch 00089 | Loss 1.0090 | Accuracy 0.7216 | Time : 8.242398023605347
Epoch 00090 | Loss 1.0052 | Accuracy 0.7280 | Time : 8.199716806411743
Epoch 00091 | Loss 1.0152 | Accuracy 0.7243 | Time : 8.260759353637695
Epoch 00092 | Loss 1.0084 | Accuracy 0.7281 | Time : 8.268590211868286
Epoch 00093 | Loss 1.0076 | Accuracy 0.7291 | Time : 8.274279117584229
Epoch 00094 | Loss 1.0099 | Accuracy 0.7269 | Time : 8.25759768486023
Epoch 00095 | Loss 1.0139 | Accuracy 0.7296 | Time : 8.2742280960083
Epoch 00096 | Loss 1.0086 | Accuracy 0.7303 | Time : 8.265348434448242
Epoch 00097 | Loss 0.9921 | Accuracy 0.7311 | Time : 8.282960414886475
Epoch 00098 | Loss 1.0171 | Accuracy 0.7235 | Time : 8.25797176361084
Epoch 00099 | Loss 1.0381 | Accuracy 0.7236 | Time : 10.871058464050293
Total Training time 808.1146
Test Accuracy 0.5737
Total sampling time :  471.789566 , Total training time : 0.0
