cuda, sapmling, time:, 0.001431
cuda, sapmling, time:, 0.012259
cuda, sapmling, time:, 0.024093
cuda, sapmling, time:, 0.001371
cuda, sapmling, time:, 0.013176
cuda, sapmling, time:, 0.025001
cuda, sapmling, time:, 0.004241
cuda, sapmling, time:, 0.008916
cuda, sapmling, time:, 0.024944
cuda, sapmling, time:, 0.002542
cuda, sapmling, time:, 0.008099
cuda, sapmling, time:, 0.024933
cuda, sapmling, time:, 0.001939
cuda, sapmling, time:, 0.008173
cuda, sapmling, time:, 0.026284
cuda, sapmling, time:, 0.001310
cuda, sapmling, time:, 0.008141
cuda, sapmling, time:, 0.025846
cuda, sapmling, time:, 0.001183
cuda, sapmling, time:, 0.007678
cuda, sapmling, time:, 0.026147
cuda, sapmling, time:, 0.001526
cuda, sapmling, time:, 0.007654
cuda, sapmling, time:, 0.025246
cuda, sapmling, time:, 0.002537
cuda, sapmling, time:, 0.011825
cuda, sapmling, time:, 0.024655
cuda, sapmling, time:, 0.001310
cuda, sapmling, time:, 0.012526
cuda, sapmling, time:, 0.025248
cuda, sapmling, time:, 0.001290
cuda, sapmling, time:, 0.011989
cuda, sapmling, time:, 0.024681
cuda, sapmling, time:, 0.001122
cuda, sapmling, time:, 0.011281
cuda, sapmling, time:, 0.024645
cuda, sapmling, time:, 0.001661
cuda, sapmling, time:, 0.007207
cuda, sapmling, time:, 0.025459
cuda, sapmling, time:, 0.000966
cuda, sapmling, time:, 0.006810
cuda, sapmling, time:, 0.025865
cuda, sapmling, time:, 0.002533
cuda, sapmling, time:, 0.012438
cuda, sapmling, time:, 0.024870
cuda, sapmling, time:, 0.001808
cuda, sapmling, time:, 0.012061
cuda, sapmling, time:, 0.024344
cuda, sapmling, time:, 0.001365
cuda, sapmling, time:, 0.007145
cuda, sapmling, time:, 0.025230
cuda, sapmling, time:, 0.001784
cuda, sapmling, time:, 0.007880
cuda, sapmling, time:, 0.024890
cuda, sapmling, time:, 0.001501
cuda, sapmling, time:, 0.007797
cuda, sapmling, time:, 0.025867
cuda, sapmling, time:, 0.002373
