cuda, sapmling, time:, 0.003648
cuda, sapmling, time:, 0.038917
cuda, sapmling, time:, 0.157770
cuda, sapmling, time:, 0.003582
cuda, sapmling, time:, 0.039476
cuda, sapmling, time:, 0.156284
cuda, sapmling, time:, 0.005781
cuda, sapmling, time:, 0.038925
cuda, sapmling, time:, 0.157306
cuda, sapmling, time:, 0.004163
cuda, sapmling, time:, 0.038581
cuda, sapmling, time:, 0.157340
cuda, sapmling, time:, 0.002852
cuda, sapmling, time:, 0.038763
cuda, sapmling, time:, 0.158326
cuda, sapmling, time:, 0.005686
cuda, sapmling, time:, 0.038412
cuda, sapmling, time:, 0.157185
cuda, sapmling, time:, 0.004610
cuda, sapmling, time:, 0.039565
cuda, sapmling, time:, 0.157732
cuda, sapmling, time:, 0.002622
cuda, sapmling, time:, 0.038910
cuda, sapmling, time:, 0.157497
cuda, sapmling, time:, 0.003226
cuda, sapmling, time:, 0.038012
cuda, sapmling, time:, 0.157307
cuda, sapmling, time:, 0.002740
cuda, sapmling, time:, 0.038943
cuda, sapmling, time:, 0.157859
cuda, sapmling, time:, 0.004242
cuda, sapmling, time:, 0.038401
cuda, sapmling, time:, 0.157075
cuda, sapmling, time:, 0.003648
cuda, sapmling, time:, 0.037981
cuda, sapmling, time:, 0.157046
cuda, sapmling, time:, 0.005105
cuda, sapmling, time:, 0.040254
cuda, sapmling, time:, 0.158052
cuda, sapmling, time:, 0.003340
cuda, sapmling, time:, 0.038337
cuda, sapmling, time:, 0.158375
cuda, sapmling, time:, 0.003519
cuda, sapmling, time:, 0.040196
cuda, sapmling, time:, 0.156994
cuda, sapmling, time:, 0.002891
cuda, sapmling, time:, 0.038836
cuda, sapmling, time:, 0.157307
cuda, sapmling, time:, 0.004929
cuda, sapmling, time:, 0.038125
cuda, sapmling, time:, 0.158230
cuda, sapmling, time:, 0.005828
cuda, sapmling, time:, 0.038739
cuda, sapmling, time:, 0.157312
cuda, sapmling, time:, 0.004071
cuda, sapmling, time:, 0.038736
cuda, sapmling, time:, 0.158428
cuda, sapmling, time:, 0.003051
