Training in mixed mode.
Loading data
Graph(num_nodes=2449029, num_edges=123718280,
      ndata_schemes={'test_mask': Scheme(shape=(), dtype=torch.uint8), 'val_mask': Scheme(shape=(), dtype=torch.uint8), 'train_mask': Scheme(shape=(), dtype=torch.uint8), 'label': Scheme(shape=(), dtype=torch.int64), 'feat': Scheme(shape=(100,), dtype=torch.float32)}
      edata_schemes={})
<class 'dgl.heterograph.DGLGraph'>
partition start
Convert a graph into a bidirected graph: 14.098 seconds, peak memory: 23.000 GB
Construct multi-constraint weights: 0.000 seconds, peak memory: 23.000 GB
Metis partitioning: 37.922 seconds, peak memory: 25.425 GB
torch.Size([2449029])
Array computation done and passed to neighbour.py line 631
Training...
Epoch 00000 | Loss 3.3919 | Accuracy 0.3932 | Time : 11.551430940628052
 Total Training Time 11.5514 seconds
Testing...
Test Accuracy 0.3299
cuda, sapmling, time:, 0.007253
cuda, sapmling, time:, 0.057733
cuda, sapmling, time:, 0.183396
cuda, sapmling, time:, 0.006564
cuda, sapmling, time:, 0.058027
cuda, sapmling, time:, 0.183887
cuda, sapmling, time:, 0.007320
cuda, sapmling, time:, 0.059302
cuda, sapmling, time:, 0.182420
cuda, sapmling, time:, 0.006705
cuda, sapmling, time:, 0.058359
cuda, sapmling, time:, 0.183681
cuda, sapmling, time:, 0.005698
cuda, sapmling, time:, 0.057967
cuda, sapmling, time:, 0.183157
cuda, sapmling, time:, 0.007331
cuda, sapmling, time:, 0.057948
cuda, sapmling, time:, 0.182824
cuda, sapmling, time:, 0.006110
cuda, sapmling, time:, 0.057728
cuda, sapmling, time:, 0.182704
cuda, sapmling, time:, 0.005139
cuda, sapmling, time:, 0.057909
cuda, sapmling, time:, 0.183404
cuda, sapmling, time:, 0.005949
cuda, sapmling, time:, 0.058189
cuda, sapmling, time:, 0.183718
cuda, sapmling, time:, 0.006487
cuda, sapmling, time:, 0.057452
cuda, sapmling, time:, 0.183016
cuda, sapmling, time:, 0.005313
cuda, sapmling, time:, 0.056653
cuda, sapmling, time:, 0.183112
cuda, sapmling, time:, 0.006572
cuda, sapmling, time:, 0.056503
cuda, sapmling, time:, 0.183175
cuda, sapmling, time:, 0.004847
cuda, sapmling, time:, 0.058720
cuda, sapmling, time:, 0.183057
cuda, sapmling, time:, 0.012591
cuda, sapmling, time:, 0.057785
cuda, sapmling, time:, 0.183068
cuda, sapmling, time:, 0.006637
cuda, sapmling, time:, 0.057567
cuda, sapmling, time:, 0.182981
cuda, sapmling, time:, 0.005355
cuda, sapmling, time:, 0.058044
cuda, sapmling, time:, 0.183067
cuda, sapmling, time:, 0.005655
cuda, sapmling, time:, 0.056119
cuda, sapmling, time:, 0.183064
cuda, sapmling, time:, 0.008230
cuda, sapmling, time:, 0.058371
cuda, sapmling, time:, 0.183416
cuda, sapmling, time:, 0.005203
cuda, sapmling, time:, 0.059047
cuda, sapmling, time:, 0.182840
cuda, sapmling, time:, 0.005190
cuda, sapmling, time:, 0.057210
cuda, sapmling, time:, 0.183204
cuda, sapmling, time:, 0.005329
cuda, sapmling, time:, 0.057784
cuda, sapmling, time:, 0.183543
cuda, sapmling, time:, 0.005083
cuda, sapmling, time:, 0.057729
cuda, sapmling, time:, 0.183138
cuda, sapmling, time:, 0.007572
cuda, sapmling, time:, 0.057330
cuda, sapmling, time:, 0.183458
cuda, sapmling, time:, 0.007798
cuda, sapmling, time:, 0.058621
cuda, sapmling, time:, 0.183451
cuda, sapmling, time:, 0.000048
cuda, sapmling, time:, 0.001659
cuda, sapmling, time:, 0.007344
cuda, sapmling, time:, 0.002774
cuda, sapmling, time:, 0.058989
cuda, sapmling, time:, 0.189624
cuda, sapmling, time:, 0.002603
cuda, sapmling, time:, 0.059601
cuda, sapmling, time:, 0.190013
cuda, sapmling, time:, 0.002443
cuda, sapmling, time:, 0.058501
cuda, sapmling, time:, 0.189498
cuda, sapmling, time:, 0.002582
cuda, sapmling, time:, 0.059476
cuda, sapmling, time:, 0.189720
cuda, sapmling, time:, 0.002342
cuda, sapmling, time:, 0.052164
cuda, sapmling, time:, 0.181462
